Date,Adj Close,Close,High,Low,Open,Repaired?,Volume,is_missing,is_stale,price_changed,streak_group,streak_len,volume_zero,flat_candle,is_ohlc_invalid,Return,is_outlier_iqr,is_outlier_mad,next_day_after_long_streak,is_suspect_outlier,gap_days,is_long_gap
2014-05-06,2172.75,2172.75,2205.75,2165.0,2182.75,False,41,False,False,True,1,0,False,False,False,,False,False,False,False,,False
2014-05-07,2149.0,2149.0,2152.25,2146.0,2152.25,False,35,False,False,True,1,0,False,False,False,-0.010930848003681937,False,False,False,False,1.0,False
2014-05-08,2141.75,2141.75,2150.0,2130.0,2150.0,False,25,False,False,True,1,0,False,False,False,-0.0033736621684504753,False,False,False,False,1.0,False
2014-05-09,2107.25,2107.25,2133.5,2107.25,2133.5,False,14,False,False,True,1,0,False,False,False,-0.016108322633360594,False,False,False,False,1.0,False
2014-05-12,2088.25,2088.25,2088.25,2086.0,2086.0,False,4,False,False,True,1,0,False,False,False,-0.009016490686914236,False,False,False,False,3.0,False
2014-05-13,2085.25,2085.25,2085.25,2085.25,2085.25,False,0,False,False,True,1,0,True,True,False,-0.0014366096013408436,False,False,False,False,1.0,False
2014-05-14,2110.0,2110.0,2145.5,2110.0,2110.0,False,3,False,False,True,1,0,False,False,False,0.011869080445989777,False,False,False,False,1.0,False
2014-05-15,2115.5,2115.5,2142.75,2115.5,2142.75,False,6,False,False,True,1,0,False,False,False,0.0026066350710900466,False,False,False,False,1.0,False
2014-05-16,2106.25,2106.25,2106.25,2106.25,2106.25,False,0,False,False,True,1,0,True,True,False,-0.004372488773339622,False,False,False,False,1.0,False
2014-05-19,2113.75,2113.75,2113.75,2113.75,2113.75,False,0,False,False,True,1,0,True,True,False,0.0035608308605341588,False,False,False,False,3.0,False
2014-05-20,2106.75,2106.75,2106.75,2106.75,2106.75,False,0,False,False,True,1,0,True,True,False,-0.003311649911295067,False,False,False,False,1.0,False
2014-05-22,2136.0,2136.0,2136.0,2123.0,2123.0,False,15,False,False,True,3,0,False,False,False,0.013883944464222253,False,False,False,False,2.0,False
2014-05-23,2150.0,2150.0,2154.75,2150.0,2154.75,False,10,False,False,True,3,0,False,False,False,0.0065543071161049404,False,False,False,False,1.0,False
2014-05-27,2159.25,2159.25,2159.25,2158.0,2159.25,False,16,False,False,True,3,0,False,False,False,0.0043023255813954275,False,False,False,False,4.0,False
2014-05-29,2179.25,2179.25,2179.25,2179.25,2179.25,False,0,False,False,True,3,0,True,True,False,0.009262475396549785,False,False,False,False,2.0,False
2014-05-30,2177.25,2177.25,2177.25,2177.25,2177.25,False,14,False,False,True,3,0,False,True,False,-0.0009177469312836584,False,False,False,False,1.0,False
2014-06-02,2186.0,2186.0,2186.0,2186.0,2186.0,False,0,False,False,True,3,0,True,True,False,0.00401883109427037,False,False,False,False,3.0,False
2014-06-03,2198.0,2198.0,2204.0,2198.0,2204.0,False,7,False,False,True,3,0,False,False,False,0.0054894784995425105,False,False,False,False,1.0,False
2014-06-04,2189.75,2189.75,2189.75,2189.75,2189.75,False,0,False,False,True,3,0,True,True,False,-0.0037534121929025943,False,False,False,False,1.0,False
2014-06-05,2201.0,2201.0,2201.0,2201.0,2201.0,False,20,False,False,True,3,0,False,True,False,0.005137572782281108,False,False,False,False,1.0,False
2014-06-06,2222.25,2222.25,2222.25,2222.25,2222.25,False,0,False,False,True,3,0,True,True,False,0.009654702407996263,False,False,False,False,1.0,False
2014-06-09,2257.0,2257.0,2261.75,2257.0,2261.75,False,5,False,False,True,3,0,False,False,False,0.015637304533693275,False,False,False,False,3.0,False
2014-06-10,2250.75,2250.75,2250.75,2250.75,2250.75,False,31,False,False,True,3,0,False,True,False,-0.0027691626052281926,False,False,False,False,1.0,False
2014-06-11,2222.25,2222.25,2224.5,2222.25,2224.5,False,3,False,False,True,3,0,False,False,False,-0.012662445851382875,False,False,False,False,1.0,False
2014-06-12,2183.0,2183.0,2183.0,2183.0,2183.0,False,0,False,False,True,3,0,True,True,False,-0.017662279221509758,False,False,False,False,1.0,False
2014-06-13,2190.25,2190.25,2190.25,2190.25,2190.25,False,0,False,False,True,3,0,True,True,False,0.003321117727897338,False,False,False,False,1.0,False
2014-06-16,2206.75,2206.75,2206.75,2192.5,2192.5,False,10,False,False,True,3,0,False,False,False,0.007533386599703151,False,False,False,False,3.0,False
2014-06-17,2195.75,2195.75,2196.25,2190.75,2196.25,False,21,False,False,True,3,0,False,False,False,-0.004984706015633833,False,False,False,False,1.0,False
2014-06-18,2211.0,2211.0,2211.0,2211.0,2211.0,False,0,False,False,True,3,0,True,True,False,0.0069452351132870405,False,False,False,False,1.0,False
2014-06-19,2225.75,2225.75,2225.75,2225.75,2225.75,False,35,False,False,True,3,0,False,True,False,0.0066711895070104,False,False,False,False,1.0,False
2014-06-20,2221.5,2221.5,2221.5,2221.5,2221.5,False,0,False,False,True,3,0,True,True,False,-0.0019094687184095793,False,False,False,False,1.0,False
2014-06-23,2231.25,2231.25,2238.25,2231.25,2238.25,False,24,False,False,True,3,0,False,False,False,0.004388926401080351,False,False,False,False,3.0,False
2014-06-24,2247.5,2247.5,2247.5,2247.5,2247.5,False,29,False,False,True,3,0,False,True,False,0.007282913165266081,False,False,False,False,1.0,False
2014-06-25,2245.75,2245.75,2245.75,2235.75,2245.75,False,14,False,False,True,3,0,False,False,False,-0.0007786429365962411,False,False,False,False,1.0,False
2014-06-26,2241.75,2241.75,2241.75,2241.75,2241.75,False,8,False,False,True,3,0,False,True,False,-0.001781142157408433,False,False,False,False,1.0,False
2014-06-27,2233.25,2233.25,2233.25,2233.25,2233.25,False,0,False,False,True,3,0,True,True,False,-0.0037916806066689013,False,False,False,False,1.0,False
2014-06-30,2242.25,2242.25,2242.25,2242.25,2242.25,False,0,False,False,True,3,0,True,True,False,0.004030001119444737,False,False,False,False,3.0,False
2014-07-01,2234.25,2234.25,2234.25,2234.25,2234.25,False,0,False,False,True,3,0,True,True,False,-0.003567844798751274,False,False,False,False,1.0,False
2014-07-02,2268.5,2268.5,2268.5,2268.5,2268.5,False,0,False,False,True,3,0,True,True,False,0.01532952892469508,False,False,False,False,1.0,False
2014-07-03,2281.25,2281.25,2281.25,2281.25,2281.25,False,0,False,False,True,3,0,True,True,False,0.005620454044522827,False,False,False,False,1.0,False
2014-07-07,2267.5,2267.5,2267.5,2267.5,2267.5,False,0,False,False,True,3,0,True,True,False,-0.0060273972602740145,False,False,False,False,4.0,False
2014-07-08,2280.75,2280.75,2280.75,2280.25,2280.25,False,21,False,False,True,3,0,False,False,False,0.005843439911797033,False,False,False,False,1.0,False
2014-07-09,2278.5,2278.5,2278.5,2278.5,2278.5,False,0,False,False,True,3,0,True,True,False,-0.0009865175928970293,False,False,False,False,1.0,False
2014-07-10,2272.75,2272.75,2272.75,2249.75,2249.75,False,5,False,False,True,3,0,False,False,False,-0.0025235900811937384,False,False,False,False,1.0,False
2014-07-11,2290.25,2290.25,2290.25,2290.25,2290.25,False,5,False,False,True,3,0,False,True,False,0.007699923000769937,False,False,False,False,1.0,False
2014-07-14,2291.5,2291.5,2291.5,2291.5,2291.5,False,0,False,False,True,3,0,True,True,False,0.0005457919441109738,False,False,False,False,3.0,False
2014-07-15,2293.75,2293.75,2293.75,2293.75,2293.75,False,10,False,False,True,3,0,False,True,False,0.0009818895919704307,False,False,False,False,1.0,False
2014-07-16,2311.5,2311.5,2311.5,2311.5,2311.5,False,2,False,False,True,3,0,False,True,False,0.007738419618528614,False,False,False,False,1.0,False
2014-07-17,2325.5,2325.5,2325.5,2325.5,2325.5,False,0,False,False,True,3,0,True,True,False,0.006056673155959258,False,False,False,False,1.0,False
2014-07-18,2326.25,2326.25,2326.25,2311.0,2311.0,False,10,False,False,True,3,0,False,False,False,0.00032251128789506645,False,False,False,False,1.0,False
2014-07-21,2364.0,2364.0,2364.0,2364.0,2364.0,False,0,False,False,True,3,0,True,True,False,0.016227834497581917,False,False,False,False,3.0,False
2014-07-22,2384.5,2384.5,2384.5,2384.5,2384.5,False,0,False,False,True,3,0,True,True,False,0.008671742808798566,False,False,False,False,1.0,False
2014-07-23,2360.0,2360.0,2377.5,2358.0,2360.0,False,40,False,False,True,3,0,False,False,False,-0.010274690710840861,False,False,False,False,1.0,False
2014-07-24,2392.5,2392.5,2399.25,2392.5,2399.25,False,8,False,False,True,3,0,False,False,False,0.013771186440677985,False,False,False,False,1.0,False
2014-07-25,2371.25,2371.25,2371.25,2371.25,2371.25,False,0,False,False,True,3,0,True,True,False,-0.008881922675026077,False,False,False,False,1.0,False
2014-07-28,2378.0,2378.0,2378.0,2378.0,2378.0,False,10,False,False,True,3,0,False,True,False,0.0028465998945703674,False,False,False,False,3.0,False
2014-07-29,2339.0,2339.0,2339.0,2339.0,2339.0,False,25,False,False,True,3,0,False,True,False,-0.016400336417157324,False,False,False,False,1.0,False
2014-07-30,2373.0,2373.0,2373.0,2373.0,2373.0,False,11,False,False,True,3,0,False,True,False,0.014536126549807626,False,False,False,False,1.0,False
